id,topic,difficulty,question,A,B,C,D,answer
275,Sequence Diagram,3,The main purpose of Sequence Diagram is to:,Email SMTP,Unit Testing,object interactions,SDLC,C
276,Sequence Diagram,2,What best describes Sequence Diagram?,Use Case Diagram,Random guessing,Cooking recipe,message flow over time,D
277,Sequence Diagram,2,Which is NOT related to Sequence Diagram?,lifeline,Not related,sync,activation,B
278,Sequence Diagram,2,Which term is most related to Sequence Diagram?,loop,Unit Testing,Bluetooth protocol,User interface theme,A
279,Sequence Diagram,2,Which term is most related to Sequence Diagram?,Scrum,Agile Model,return,DNS resolution,C
280,Sequence Diagram,2,Which concept belongs to Sequence Diagram?,Network routing,Cooking recipe,Version Control,async,D
281,Software Testing,2,Which is NOT related to Software Testing?,Not related,test case,defect,regression,A
282,Software Testing,2,The main purpose of Software Testing is to:,Use Case Diagram,Network routing,Random guessing,verify requirements,D
283,Software Testing,2,Which concept belongs to Software Testing?,Bluetooth protocol,UML,Email SMTP,unit,D
284,Software Testing,3,Which term is most related to Software Testing?,regression,Sequence Diagram,Bluetooth protocol,Class Diagram,A
285,Software Testing,3,The main purpose of Software Testing is to:,Sequence Diagram,verify requirements,Integration Testing,Agile Model,B
286,Software Testing,2,Which is NOT related to Software Testing?,system,defect,test case,Not related,D
287,Software Testing,1,Which term is most related to Software Testing?,Integration Testing,User interface theme,UML,regression,D
288,Software Testing,1,What best describes Software Testing?,Database normalization only,Bluetooth protocol,find defects,Cooking recipe,C
289,Software Testing,2,Which is NOT related to Software Testing?,acceptance,Not related,defect,functional,B
290,Software Testing,2,Which is NOT related to Software Testing?,system,Not related,functional,test case,B
291,Software Testing,2,What best describes Software Testing?,DNS resolution,Sequence Diagram,Agile Model,find defects,D
292,Software Testing,2,Which term is most related to Software Testing?,defect,Class Diagram,Unit Testing,Cooking recipe,A
293,Software Testing,3,The main purpose of Software Testing is to:,Sequence Diagram,Use Case Diagram,Cooking recipe,find defects,D
294,Software Testing,2,Which term is most related to Software Testing?,Agile Model,SDLC,System Testing,test case,D
295,Software Testing,3,The main purpose of Software Testing is to:,find defects,Random guessing,Integration Testing,UML,A
296,Software Testing,3,Which term is most related to Software Testing?,UML,User interface theme,DNS resolution,regression,D
297,Software Testing,3,The main purpose of Software Testing is to:,verify requirements,User interface theme,Email SMTP,System Testing,A
298,Software Testing,3,Which is NOT related to Software Testing?,acceptance,system,functional,Not related,D
299,Software Testing,2,Which term is most related to Software Testing?,UML,Agile Model,CPU scheduling,functional,D
300,Software Testing,2,Which term is most related to Software Testing?,System Testing,Random guessing,non-functional,Unit Testing,C
301,Software Testing,2,Which is NOT related to Software Testing?,functional,Not related,system,regression,B
302,Software Testing,1,Which concept belongs to Software Testing?,Class Diagram,acceptance,Scrum,Agile Model,B
303,Software Testing,1,What best describes Software Testing?,Version Control,find defects,DNS resolution,Class Diagram,B
304,Software Testing,1,Which term is most related to Software Testing?,test case,SDLC,Random guessing,UML,A
305,Software Testing,2,Which concept belongs to Software Testing?,Random guessing,Hardware installation,Scrum,integration,D
306,Software Testing,1,What best describes Software Testing?,find defects,Integration Testing,Database normalization only,Agile Model,A
307,Software Testing,2,What best describes Software Testing?,Email SMTP,Sequence Diagram,CPU scheduling,find defects,D
308,Software Testing,2,Which term is most related to Software Testing?,Use Case Diagram,UML,defect,SDLC,C
309,Software Testing,1,Which concept belongs to Software Testing?,Use Case Diagram,CPU scheduling,Sequence Diagram,unit,D
310,Software Testing,1,Which concept belongs to Software Testing?,SDLC,Class Diagram,unit,System Testing,C
311,Software Testing,2,What best describes Software Testing?,Bluetooth protocol,Random guessing,Use Case Diagram,find defects,D
312,Software Testing,1,Which is NOT related to Software Testing?,test case,Not related,unit,acceptance,B
313,Software Testing,2,Which term is most related to Software Testing?,defect,Network routing,Integration Testing,SDLC,A
314,Software Testing,3,Which concept belongs to Software Testing?,Email SMTP,Scrum,system,Class Diagram,C
315,Software Testing,2,Which concept belongs to Software Testing?,Cooking recipe,User interface theme,integration,Unit Testing,C
316,Software Testing,2,Which concept belongs to Software Testing?,Cooking recipe,Software Maintenance,acceptance,Bluetooth protocol,C
317,Software Testing,1,Which term is most related to Software Testing?,Use Case Diagram,defect,Scrum,DNS resolution,B
318,Software Testing,1,The main purpose of Software Testing is to:,System Testing,SDLC,Use Case Diagram,verify requirements,D
319,Software Testing,1,The main purpose of Software Testing is to:,find defects,User interface theme,Email SMTP,Network routing,A
320,Software Testing,3,Which concept belongs to Software Testing?,SDLC,Random guessing,Database normalization only,integration,D
321,Unit Testing,1,Which concept belongs to Unit Testing?,TDD,Software Testing,Sequence Diagram,Version Control,A
322,Unit Testing,2,Which term is most related to Unit Testing?,Software Testing,TDD,Agile Model,Cooking recipe,B
323,Unit Testing,2,Which term is most related to Unit Testing?,Use Case Diagram,UML,Bluetooth protocol,mock,D
324,Unit Testing,2,Which concept belongs to Unit Testing?,User interface theme,Database normalization only,Agile Model,TDD,D
325,Unit Testing,1,Which concept belongs to Unit Testing?,TDD,Version Control,Class Diagram,CPU scheduling,A
326,Unit Testing,1,What best describes Unit Testing?,Use Case Diagram,User interface theme,tests smallest units,Version Control,C
327,Unit Testing,2,Which term is most related to Unit Testing?,Sequence Diagram,Integration Testing,Software Testing,TDD,D
328,Unit Testing,3,Which concept belongs to Unit Testing?,SDLC,TDD,System Testing,DNS resolution,B
329,Unit Testing,2,Which is NOT related to Unit Testing?,coverage,stub,AAA,Not related,D
330,Unit Testing,1,Which term is most related to Unit Testing?,AAA,Sequence Diagram,Use Case Diagram,Email SMTP,A
331,Unit Testing,1,Which is NOT related to Unit Testing?,Not related,coverage,AAA,stub,A
332,Unit Testing,1,Which concept belongs to Unit Testing?,Sequence Diagram,Arrange-Act-Assert,Email SMTP,Database normalization only,B
333,Unit Testing,2,Which concept belongs to Unit Testing?,Agile Model,TDD,UML,Bluetooth protocol,B
334,Unit Testing,1,Which term is most related to Unit Testing?,Integration Testing,Bluetooth protocol,System Testing,coverage,D
335,Unit Testing,1,Which is NOT related to Unit Testing?,coverage,AAA,TDD,Not related,D
336,Unit Testing,1,What best describes Unit Testing?,System Testing,CPU scheduling,Use Case Diagram,tests smallest units,D
337,Unit Testing,2,Which term is most related to Unit Testing?,AAA,Software Testing,Bluetooth protocol,Class Diagram,A
338,Unit Testing,3,The main purpose of Unit Testing is to:,Bluetooth protocol,Integration Testing,tests smallest units,Hardware installation,C
339,Unit Testing,3,Which is NOT related to Unit Testing?,Not related,Arrange-Act-Assert,stub,coverage,A
340,Unit Testing,2,Which concept belongs to Unit Testing?,Random guessing,TDD,User interface theme,CPU scheduling,B
341,Unit Testing,1,What best describes Unit Testing?,Version Control,tests smallest units,User interface theme,Sequence Diagram,B
342,Unit Testing,2,Which term is most related to Unit Testing?,UML,Database normalization only,stub,Agile Model,C
343,Unit Testing,2,The main purpose of Unit Testing is to:,Integration Testing,Cooking recipe,fast and isolated,Random guessing,C
344,Unit Testing,2,Which concept belongs to Unit Testing?,Email SMTP,SDLC,Sequence Diagram,TDD,D
345,Unit Testing,3,What best describes Unit Testing?,Bluetooth protocol,tests smallest units,Class Diagram,Software Testing,B
346,Unit Testing,3,Which term is most related to Unit Testing?,Class Diagram,Agile Model,coverage,Database normalization only,C
347,Unit Testing,2,The main purpose of Unit Testing is to:,Software Testing,Network routing,fast and isolated,Integration Testing,C
348,Unit Testing,3,What best describes Unit Testing?,User interface theme,Software Maintenance,tests smallest units,Class Diagram,C
349,Unit Testing,1,The main purpose of Unit Testing is to:,User interface theme,Software Testing,tests smallest units,Scrum,C
350,Unit Testing,3,Which is NOT related to Unit Testing?,stub,Not related,TDD,AAA,B
351,Unit Testing,1,Which term is most related to Unit Testing?,Version Control,mock,Use Case Diagram,Hardware installation,B
352,Unit Testing,2,What best describes Unit Testing?,CPU scheduling,UML,tests smallest units,Random guessing,C
353,Unit Testing,3,Which is NOT related to Unit Testing?,mock,AAA,Not related,TDD,C
354,Unit Testing,3,What best describes Unit Testing?,System Testing,SDLC,tests smallest units,Software Maintenance,C
355,Unit Testing,1,Which concept belongs to Unit Testing?,TDD,UML,Database normalization only,Class Diagram,A
356,Unit Testing,1,Which term is most related to Unit Testing?,Bluetooth protocol,Software Maintenance,mock,Random guessing,C
357,Unit Testing,1,The main purpose of Unit Testing is to:,Network routing,fast and isolated,SDLC,Version Control,B
358,Unit Testing,2,Which is NOT related to Unit Testing?,mock,Arrange-Act-Assert,AAA,Not related,D
359,Unit Testing,2,Which concept belongs to Unit Testing?,System Testing,Cooking recipe,Arrange-Act-Assert,Hardware installation,C
360,Unit Testing,3,Which concept belongs to Unit Testing?,DNS resolution,Hardware installation,Arrange-Act-Assert,CPU scheduling,C
361,Integration Testing,2,The main purpose of Integration Testing is to:,DNS resolution,Version Control,System Testing,tests module interactions,D
362,Integration Testing,1,Which term is most related to Integration Testing?,DNS resolution,Agile Model,top-down,Database normalization only,C
363,Integration Testing,1,Which concept belongs to Integration Testing?,Cooking recipe,Unit Testing,Software Maintenance,top-down,D
364,Integration Testing,2,The main purpose of Integration Testing is to:,tests module interactions,Class Diagram,Unit Testing,UML,A
365,Integration Testing,2,Which term is most related to Integration Testing?,contract,Random guessing,Version Control,DNS resolution,A
366,Integration Testing,1,Which is NOT related to Integration Testing?,top-down,bottom-up,contract,Not related,D
367,Integration Testing,1,Which concept belongs to Integration Testing?,Use Case Diagram,Software Maintenance,big-bang,Email SMTP,C
368,Integration Testing,3,What best describes Integration Testing?,tests module interactions,Class Diagram,Agile Model,DNS resolution,A
369,Integration Testing,2,Which term is most related to Integration Testing?,contract,System Testing,Random guessing,Email SMTP,A
370,Integration Testing,1,Which is NOT related to Integration Testing?,contract,API,bottom-up,Not related,D
371,Integration Testing,3,Which term is most related to Integration Testing?,API,DNS resolution,Network routing,Scrum,A
372,Integration Testing,3,The main purpose of Integration Testing is to:,UML,interface defects,Bluetooth protocol,System Testing,B
373,Integration Testing,1,What best describes Integration Testing?,Hardware installation,System Testing,tests module interactions,Software Maintenance,C
374,Integration Testing,2,Which concept belongs to Integration Testing?,Unit Testing,big-bang,UML,Hardware installation,B
375,Integration Testing,1,What best describes Integration Testing?,tests module interactions,Use Case Diagram,Version Control,Email SMTP,A
376,Integration Testing,1,Which term is most related to Integration Testing?,SDLC,Bluetooth protocol,top-down,DNS resolution,C
377,Integration Testing,1,Which concept belongs to Integration Testing?,Software Testing,top-down,CPU scheduling,DNS resolution,B
378,Integration Testing,2,The main purpose of Integration Testing is to:,Agile Model,Software Testing,interface defects,Use Case Diagram,C
379,Integration Testing,2,Which is NOT related to Integration Testing?,big-bang,top-down,Not related,bottom-up,C
380,Integration Testing,2,Which concept belongs to Integration Testing?,Unit Testing,Version Control,System Testing,bottom-up,D
381,Integration Testing,3,Which term is most related to Integration Testing?,API,DNS resolution,Database normalization only,CPU scheduling,A
382,Integration Testing,1,What best describes Integration Testing?,tests module interactions,Bluetooth protocol,DNS resolution,Version Control,A
383,Integration Testing,1,The main purpose of Integration Testing is to:,UML,tests module interactions,Software Testing,DNS resolution,B
384,Integration Testing,2,What best describes Integration Testing?,Version Control,User interface theme,SDLC,tests module interactions,D
385,Integration Testing,1,What best describes Integration Testing?,Version Control,tests module interactions,Sequence Diagram,Software Testing,B
386,Integration Testing,1,What best describes Integration Testing?,DNS resolution,CPU scheduling,User interface theme,tests module interactions,D
387,Integration Testing,3,Which term is most related to Integration Testing?,Bluetooth protocol,SDLC,Unit Testing,bottom-up,D
388,Integration Testing,1,Which term is most related to Integration Testing?,API,Use Case Diagram,Software Testing,Unit Testing,A
389,Integration Testing,2,The main purpose of Integration Testing is to:,Scrum,interface defects,Database normalization only,Email SMTP,B
390,Integration Testing,1,What best describes Integration Testing?,Database normalization only,System Testing,tests module interactions,Email SMTP,C
391,Integration Testing,1,Which is NOT related to Integration Testing?,contract,top-down,Not related,bottom-up,C
392,Integration Testing,1,The main purpose of Integration Testing is to:,tests module interactions,Network routing,Bluetooth protocol,Hardware installation,A
393,Integration Testing,3,Which is NOT related to Integration Testing?,Not related,top-down,bottom-up,API,A
394,Integration Testing,3,The main purpose of Integration Testing is to:,CPU scheduling,Version Control,interface defects,System Testing,C
395,Integration Testing,2,Which term is most related to Integration Testing?,SDLC,big-bang,Bluetooth protocol,UML,B
396,Integration Testing,1,The main purpose of Integration Testing is to:,Version Control,User interface theme,tests module interactions,UML,C
397,Integration Testing,1,Which term is most related to Integration Testing?,Hardware installation,System Testing,bottom-up,Software Testing,C
398,Integration Testing,1,What best describes Integration Testing?,Scrum,System Testing,Class Diagram,tests module interactions,D
399,Integration Testing,1,What best describes Integration Testing?,tests module interactions,UML,Scrum,Unit Testing,A
400,Integration Testing,2,Which is NOT related to Integration Testing?,big-bang,bottom-up,top-down,Not related,D
401,System Testing,2,Which concept belongs to System Testing?,UAT,Software Testing,Integration Testing,Software Maintenance,A
402,System Testing,1,What best describes System Testing?,Scrum,Database normalization only,Class Diagram,tests whole system,D
403,System Testing,1,Which concept belongs to System Testing?,end-to-end,Sequence Diagram,SDLC,Software Maintenance,A
404,System Testing,2,What best describes System Testing?,Class Diagram,Agile Model,Database normalization only,tests whole system,D
405,System Testing,2,Which concept belongs to System Testing?,end-to-end,Random guessing,Version Control,Cooking recipe,A
406,System Testing,1,Which term is most related to System Testing?,compatibility,Unit Testing,DNS resolution,Software Maintenance,A
407,System Testing,1,The main purpose of System Testing is to:,UML,end-to-end,User interface theme,DNS resolution,B
408,System Testing,2,What best describes System Testing?,Class Diagram,tests whole system,Use Case Diagram,UML,B
409,System Testing,1,What best describes System Testing?,tests whole system,DNS resolution,Agile Model,Version Control,A
410,System Testing,1,Which concept belongs to System Testing?,Network routing,Software Testing,UAT,Unit Testing,C
411,System Testing,2,Which is NOT related to System Testing?,compatibility,Not related,recovery,performance,B
412,System Testing,1,The main purpose of System Testing is to:,end-to-end,Network routing,Version Control,Database normalization only,A
413,System Testing,1,Which term is most related to System Testing?,Agile Model,performance,Software Maintenance,DNS resolution,B
414,System Testing,2,Which concept belongs to System Testing?,Unit Testing,Use Case Diagram,UAT,Sequence Diagram,C
415,System Testing,2,Which term is most related to System Testing?,recovery,DNS resolution,Use Case Diagram,Class Diagram,A
416,System Testing,3,What best describes System Testing?,Bluetooth protocol,SDLC,Scrum,tests whole system,D
417,System Testing,2,Which concept belongs to System Testing?,Cooking recipe,Software Testing,Email SMTP,end-to-end,D
418,System Testing,2,What best describes System Testing?,CPU scheduling,Database normalization only,tests whole system,Hardware installation,C
419,System Testing,2,Which term is most related to System Testing?,load,Hardware installation,Bluetooth protocol,Version Control,A
420,System Testing,3,Which is NOT related to System Testing?,Not related,end-to-end,performance,compatibility,A
421,System Testing,2,Which term is most related to System Testing?,load,Email SMTP,Network routing,Hardware installation,A
422,System Testing,1,Which is NOT related to System Testing?,recovery,UAT,Not related,performance,C
423,System Testing,3,What best describes System Testing?,DNS resolution,UML,Class Diagram,tests whole system,D
424,System Testing,2,Which concept belongs to System Testing?,CPU scheduling,SDLC,Bluetooth protocol,UAT,D
425,System Testing,3,The main purpose of System Testing is to:,Agile Model,end-to-end,Network routing,Scrum,B
426,System Testing,1,The main purpose of System Testing is to:,end-to-end,Class Diagram,Sequence Diagram,UML,A
427,System Testing,2,The main purpose of System Testing is to:,Software Testing,Agile Model,Network routing,end-to-end,D
428,System Testing,2,What best describes System Testing?,Agile Model,Use Case Diagram,DNS resolution,tests whole system,D
429,System Testing,2,What best describes System Testing?,User interface theme,tests whole system,SDLC,Cooking recipe,B
430,System Testing,1,The main purpose of System Testing is to:,Software Testing,Use Case Diagram,Network routing,tests whole system,D
431,System Testing,2,Which term is most related to System Testing?,Integration Testing,performance,Software Maintenance,Cooking recipe,B
432,System Testing,2,Which is NOT related to System Testing?,UAT,end-to-end,performance,Not related,D
433,System Testing,1,Which is NOT related to System Testing?,compatibility,load,end-to-end,Not related,D
434,System Testing,3,Which concept belongs to System Testing?,Hardware installation,Email SMTP,UAT,Scrum,C
435,System Testing,2,Which term is most related to System Testing?,Scrum,security,Software Maintenance,Use Case Diagram,B
436,System Testing,2,The main purpose of System Testing is to:,tests whole system,Email SMTP,Sequence Diagram,SDLC,A
437,System Testing,2,The main purpose of System Testing is to:,end-to-end,Email SMTP,Network routing,User interface theme,A
438,System Testing,2,Which is NOT related to System Testing?,Not related,UAT,compatibility,security,A
439,System Testing,3,The main purpose of System Testing is to:,Hardware installation,Software Testing,end-to-end,UML,C
440,System Testing,1,Which is NOT related to System Testing?,performance,UAT,compatibility,Not related,D
441,Version Control,1,The main purpose of Version Control is to:,Agile Model,DNS resolution,collaboration with Git,CPU scheduling,C
442,Version Control,1,Which term is most related to Version Control?,Network routing,conflict,Integration Testing,Hardware installation,B
443,Version Control,1,Which is NOT related to Version Control?,commit,Git Flow,Not related,tag,C
444,Version Control,1,Which is NOT related to Version Control?,conflict,Not related,commit,Git Flow,B
445,Version Control,1,Which term is most related to Version Control?,Agile Model,Unit Testing,Bluetooth protocol,branch,D
446,Version Control,1,What best describes Version Control?,Cooking recipe,Email SMTP,track changes,Random guessing,C
447,Version Control,2,Which concept belongs to Version Control?,trunk-based,Bluetooth protocol,Class Diagram,DNS resolution,A
448,Version Control,3,Which concept belongs to Version Control?,Cooking recipe,User interface theme,Software Maintenance,trunk-based,D
449,Version Control,3,The main purpose of Version Control is to:,track changes,Sequence Diagram,Software Testing,UML,A
450,Version Control,2,Which concept belongs to Version Control?,Agile Model,Software Maintenance,UML,Git Flow,D
451,Version Control,2,Which concept belongs to Version Control?,Hardware installation,Git Flow,SDLC,Integration Testing,B
452,Version Control,1,Which term is most related to Version Control?,SDLC,Agile Model,merge,Network routing,C
453,Version Control,1,Which term is most related to Version Control?,Hardware installation,conflict,Network routing,UML,B
454,Version Control,2,Which is NOT related to Version Control?,Not related,commit,trunk-based,pull request,A
455,Version Control,1,Which term is most related to Version Control?,commit,Cooking recipe,Scrum,Email SMTP,A
456,Version Control,2,What best describes Version Control?,track changes,SDLC,Bluetooth protocol,UML,A
457,Version Control,3,Which is NOT related to Version Control?,Not related,pull request,branch,commit,A
458,Version Control,2,What best describes Version Control?,track changes,Network routing,Class Diagram,Unit Testing,A
459,Version Control,2,What best describes Version Control?,SDLC,Integration Testing,track changes,Software Maintenance,C
460,Version Control,2,Which concept belongs to Version Control?,trunk-based,Sequence Diagram,Scrum,Use Case Diagram,A
461,Version Control,2,What best describes Version Control?,User interface theme,Integration Testing,track changes,Software Maintenance,C
462,Version Control,3,The main purpose of Version Control is to:,System Testing,Database normalization only,track changes,UML,C
463,Version Control,2,What best describes Version Control?,Class Diagram,track changes,Integration Testing,Network routing,B
464,Version Control,2,Which concept belongs to Version Control?,trunk-based,Hardware installation,DNS resolution,Class Diagram,A
465,Version Control,3,The main purpose of Version Control is to:,Scrum,UML,track changes,Random guessing,C
466,Version Control,1,Which concept belongs to Version Control?,Integration Testing,Git Flow,System Testing,Bluetooth protocol,B
467,Version Control,2,Which concept belongs to Version Control?,DNS resolution,Software Maintenance,trunk-based,Software Testing,C
468,Version Control,1,What best describes Version Control?,Email SMTP,Network routing,SDLC,track changes,D
469,Version Control,1,Which concept belongs to Version Control?,Sequence Diagram,trunk-based,Scrum,Random guessing,B
470,Version Control,2,The main purpose of Version Control is to:,Integration Testing,collaboration with Git,Software Maintenance,Class Diagram,B
471,Version Control,2,Which concept belongs to Version Control?,UML,trunk-based,Class Diagram,Random guessing,B
472,Version Control,3,What best describes Version Control?,Hardware installation,User interface theme,track changes,DNS resolution,C
473,Version Control,2,The main purpose of Version Control is to:,track changes,Use Case Diagram,Scrum,Class Diagram,A
474,Version Control,2,Which term is most related to Version Control?,merge,SDLC,Database normalization only,Software Testing,A
475,Version Control,1,Which is NOT related to Version Control?,commit,pull request,Not related,trunk-based,C
476,Version Control,2,Which is NOT related to Version Control?,branch,merge,Not related,conflict,C
477,Version Control,2,The main purpose of Version Control is to:,User interface theme,Class Diagram,Agile Model,collaboration with Git,D
478,Version Control,1,The main purpose of Version Control is to:,Use Case Diagram,track changes,DNS resolution,Unit Testing,B
479,Version Control,3,Which is NOT related to Version Control?,Not related,tag,merge,commit,A
480,Version Control,2,The main purpose of Version Control is to:,Scrum,track changes,SDLC,Cooking recipe,B
481,Software Maintenance,3,Which concept belongs to Software Maintenance?,preventive,Use Case Diagram,Cooking recipe,Database normalization only,A
482,Software Maintenance,1,Which term is most related to Software Maintenance?,SDLC,preventive,User interface theme,DNS resolution,B
483,Software Maintenance,3,Which term is most related to Software Maintenance?,Software Testing,Cooking recipe,refactoring,UML,C
484,Software Maintenance,1,Which term is most related to Software Maintenance?,Email SMTP,monitoring,Class Diagram,Cooking recipe,B
485,Software Maintenance,2,Which concept belongs to Software Maintenance?,adaptive,System Testing,Bluetooth protocol,Scrum,A
486,Software Maintenance,1,Which term is most related to Software Maintenance?,Agile Model,User interface theme,Network routing,corrective,D
487,Software Maintenance,2,The main purpose of Software Maintenance is to:,Network routing,SDLC,fixes and enhancements,User interface theme,C
488,Software Maintenance,1,Which concept belongs to Software Maintenance?,DNS resolution,UML,Sequence Diagram,adaptive,D
489,Software Maintenance,2,The main purpose of Software Maintenance is to:,Database normalization only,DNS resolution,Network routing,post-deployment work,D
490,Software Maintenance,2,What best describes Software Maintenance?,CPU scheduling,post-deployment work,Cooking recipe,Use Case Diagram,B
491,Software Maintenance,1,Which term is most related to Software Maintenance?,DNS resolution,Unit Testing,preventive,User interface theme,C
492,Software Maintenance,1,What best describes Software Maintenance?,User interface theme,post-deployment work,UML,Agile Model,B
493,Software Maintenance,2,Which term is most related to Software Maintenance?,adaptive,Network routing,Database normalization only,Cooking recipe,A
494,Software Maintenance,2,The main purpose of Software Maintenance is to:,Hardware installation,fixes and enhancements,Agile Model,System Testing,B
495,Software Maintenance,2,What best describes Software Maintenance?,User interface theme,CPU scheduling,Software Testing,post-deployment work,D
496,Software Maintenance,2,Which concept belongs to Software Maintenance?,Version Control,perfective,SDLC,Random guessing,B
497,Software Maintenance,1,What best describes Software Maintenance?,Random guessing,post-deployment work,Class Diagram,UML,B
498,Software Maintenance,1,Which is NOT related to Software Maintenance?,Not related,refactoring,adaptive,corrective,A
499,Software Maintenance,1,Which concept belongs to Software Maintenance?,Email SMTP,Cooking recipe,adaptive,Hardware installation,C
500,Software Maintenance,2,The main purpose of Software Maintenance is to:,Database normalization only,Cooking recipe,Use Case Diagram,fixes and enhancements,D
501,Software Maintenance,1,Which is NOT related to Software Maintenance?,corrective,Not related,refactoring,adaptive,B
502,Software Maintenance,3,The main purpose of Software Maintenance is to:,Email SMTP,Agile Model,post-deployment work,Unit Testing,C
503,Software Maintenance,2,What best describes Software Maintenance?,post-deployment work,Bluetooth protocol,System Testing,Cooking recipe,A
504,Software Maintenance,3,Which concept belongs to Software Maintenance?,User interface theme,preventive,Integration Testing,Class Diagram,B
505,Software Maintenance,2,Which concept belongs to Software Maintenance?,User interface theme,adaptive,Network routing,DNS resolution,B
506,Software Maintenance,1,The main purpose of Software Maintenance is to:,Random guessing,fixes and enhancements,Class Diagram,Version Control,B
507,Software Maintenance,2,Which is NOT related to Software Maintenance?,refactoring,Not related,adaptive,monitoring,B
508,Software Maintenance,3,Which is NOT related to Software Maintenance?,corrective,adaptive,refactoring,Not related,D
509,Software Maintenance,2,The main purpose of Software Maintenance is to:,post-deployment work,CPU scheduling,Integration Testing,Use Case Diagram,A
510,Software Maintenance,2,Which is NOT related to Software Maintenance?,refactoring,corrective,Not related,adaptive,C
511,Software Maintenance,1,Which term is most related to Software Maintenance?,Software Testing,preventive,Integration Testing,Hardware installation,B
512,Software Maintenance,1,What best describes Software Maintenance?,Email SMTP,post-deployment work,Use Case Diagram,Unit Testing,B
513,Software Maintenance,2,What best describes Software Maintenance?,User interface theme,Scrum,post-deployment work,CPU scheduling,C
514,Software Maintenance,2,Which is NOT related to Software Maintenance?,perfective,Not related,preventive,adaptive,B
515,Software Maintenance,2,The main purpose of Software Maintenance is to:,Network routing,Sequence Diagram,Software Testing,post-deployment work,D
516,Software Maintenance,3,Which is NOT related to Software Maintenance?,adaptive,preventive,perfective,Not related,D
517,Software Maintenance,2,Which concept belongs to Software Maintenance?,SDLC,corrective,Class Diagram,Bluetooth protocol,B
518,Software Maintenance,1,Which term is most related to Software Maintenance?,Version Control,refactoring,Cooking recipe,Database normalization only,B
519,Software Maintenance,2,Which concept belongs to Software Maintenance?,CPU scheduling,Class Diagram,corrective,Agile Model,C
520,Software Maintenance,2,The main purpose of Software Maintenance is to:,fixes and enhancements,UML,Agile Model,Cooking recipe,A
